"","Estimate","2.5 %","97.5 %","iteration","predictor"
"posG",1.71454233943597,1.39166580252234,2.10584705227717,16,"posG"
"posM",0.751385216692007,0.660565012605757,0.854034600021395,16,"posM"
"countryEngland",0.939374069365447,0.837638300815174,1.052079815109,16,"countryEngland"
"countryFrance",1.18876504743942,1.03206769744934,1.36459618379146,16,"countryFrance"
"countryGermany",0.782730686172811,0.692082851634979,0.883630440406923,16,"countryGermany"
"skintone:countryEngland",0.993900408025773,0.897047437041701,1.10076322772556,16,"skintone:countryEngland"
"skintone:countryFrance",0.923337138798593,0.815080247536579,1.04459584247235,16,"skintone:countryFrance"
"skintone:countryGermany",1.09622105947007,0.967586604785363,1.23828947390042,16,"skintone:countryGermany"
"(Intercept)",0.00271082897716943,0.00237859119999514,0.00308294093720825,17,"(Intercept)"
"skintone",1.10647081316532,1.0331593026359,1.18397755075302,17,"skintone"
"totalYellows",1.01477321216468,1.01161179225818,1.01796133342146,17,"totalYellows"
"height",1.07486457117854,0.99692536775653,1.15905169449601,17,"height"
"age",1.18642589530749,1.09288575162894,1.28823118790635,17,"age"
"wins.loss",0.792255994669368,0.738587883867781,0.848856664173268,17,"wins.loss"
"goals",1.11970262165612,1.03321480930059,1.21250186717121,17,"goals"
"posD",1.15774840555473,1.02545775605617,1.30697583667466,17,"posD"
"posG",1.66649513468961,1.35081496423424,2.04956788694484,17,"posG"
"posM",0.754466836640981,0.663470623142124,0.857300038228389,17,"posM"
"countryEngland",0.889057375065044,0.793681486174339,0.994536503113554,17,"countryEngland"
"countryFrance",1.22633742501979,1.06907958692459,1.40274334402567,17,"countryFrance"
"countryGermany",0.801725830751808,0.710947794682488,0.902621844448639,17,"countryGermany"
"skintone:countryEngland",1.00238216096169,0.908325363246923,1.10582690003057,17,"skintone:countryEngland"
"skintone:countryFrance",0.842456100796128,0.742790398746452,0.953368533711197,17,"skintone:countryFrance"
"skintone:countryGermany",1.17387862607234,1.04372754564378,1.3170996932237,17,"skintone:countryGermany"
"(Intercept)",0.00264408799539211,0.00232164572690847,0.00300439471022089,18,"(Intercept)"
"skintone",1.08077096349351,1.00672983939026,1.15921665614953,18,"skintone"
"totalYellows",1.01394932060429,1.01087484536983,1.01705653021491,18,"totalYellows"
"height",1.04980379565411,0.971755622776747,1.1342372219989,18,"height"
"age",1.17098558506093,1.07602907917735,1.27467024955769,18,"age"
"wins.loss",0.802732479564634,0.748049027700707,0.860274088161565,18,"wins.loss"
"goals",1.1225614731048,1.03565521566981,1.21598542646004,18,"goals"
"posD",1.24537124309253,1.10309739031961,1.4062475571587,18,"posD"
"posG",1.5049885620509,1.20565021759477,1.87024799300672,18,"posG"
"posM",0.765210259969139,0.669749490509507,0.873710744381721,18,"posM"
"countryEngland",0.89702078893998,0.798285962940818,1.00644598665442,18,"countryEngland"
"countryFrance",1.18666227111523,1.032373444226,1.36009177594735,18,"countryFrance"
"countryGermany",0.810386239740648,0.716746363012957,0.914660478904999,18,"countryGermany"
"skintone:countryEngland",1.02423830238112,0.923421175718214,1.13560049333952,18,"skintone:countryEngland"
"skintone:countryFrance",0.859180727711318,0.75724029732428,0.972996531640649,18,"skintone:countryFrance"
"skintone:countryGermany",1.1173720037159,0.983968482293206,1.26495465937203,18,"skintone:countryGermany"
"(Intercept)",0.00282323377453848,0.00248048015334773,0.0032067807159701,19,"(Intercept)"
"skintone",1.10343170594272,1.03054116228273,1.18051687780122,19,"skintone"
"totalYellows",1.01363043201473,1.01054276946283,1.01674092678027,19,"totalYellows"
"height",1.0772077323702,0.999654468946303,1.16103506521541,19,"height"
"age",1.15931893724201,1.0699274683813,1.25642171708009,19,"age"
"wins.loss",0.801776719686611,0.747358614113237,0.859108328363842,19,"wins.loss"
"goals",1.15030587750789,1.05979841902778,1.24825001583675,19,"goals"
"posD",1.22010797769426,1.08225491259935,1.37556057412102,19,"posD"
"posG",1.6454689242615,1.33739781475482,2.01859469191611,19,"posG"
"posM",0.732781396618718,0.644481133694046,0.832451727559433,19,"posM"
"countryEngland",0.843564268874418,0.752803287454564,0.94383263553976,19,"countryEngland"
"countryFrance",1.28737505840254,1.12627869244919,1.46785486029551,19,"countryFrance"
"countryGermany",0.809242356860713,0.718223930698961,0.910324261996417,19,"countryGermany"
"skintone:countryEngland",1.01919158812395,0.920201229296702,1.12813408453431,19,"skintone:countryEngland"
"skintone:countryFrance",0.856682517796895,0.760699478845956,0.963399399012018,19,"skintone:countryFrance"
"skintone:countryGermany",1.19044938927568,1.05831475632759,1.33584991091292,19,"skintone:countryGermany"
"(Intercept)",0.00264727855412727,0.00232992921083677,0.00300143343219253,20,"(Intercept)"
"skintone",1.12507755357164,1.0510359102087,1.20324486387736,20,"skintone"
"totalYellows",1.01396118729893,1.01091241018329,1.01702956285733,20,"totalYellows"
"height",1.11643700795592,1.03525897872796,1.20425368080304,20,"height"
"age",1.1826695457463,1.09032234095774,1.28311042194734,20,"age"
"wins.loss",0.790016215173448,0.735963472229935,0.846933171693367,20,"wins.loss"
"goals",1.17088249606153,1.06981240688919,1.28034045483351,20,"goals"
"posD",1.19007595138282,1.05559047363543,1.34163882072365,20,"posD"
"posG",1.64798978932646,1.33576237858205,2.02695019300169,20,"posG"
"posM",0.759052272060995,0.66710570352454,0.862935496976981,20,"posM"
"countryEngland",0.885117496562908,0.789193917618295,0.99111742296836,20,"countryEngland"
"countryFrance",1.25564544734642,1.09433480835974,1.43611187530458,20,"countryFrance"
"countryGermany",0.800083581335757,0.709454691237362,0.900678756237912,20,"countryGermany"
"skintone:countryEngland",1.01290438803129,0.917472395287609,1.11783664515679,20,"skintone:countryEngland"
"skintone:countryFrance",0.863054884658949,0.763580761411179,0.973668470533805,20,"skintone:countryFrance"
"skintone:countryGermany",1.1860069968903,1.05639505500792,1.32831266789818,20,"skintone:countryGermany"
"(Intercept)",0.00281249550027092,0.00247802193903758,0.00318554991754558,21,"(Intercept)"
"skintone",1.14415084111291,1.06909996856687,1.22359195031852,21,"skintone"
"totalYellows",1.01401806455936,1.01100221009883,1.01706198020063,21,"totalYellows"
"height",1.08204281575225,1.00393928748791,1.16647634220625,21,"height"
"age",1.16523428721306,1.07424493964702,1.26414942103743,21,"age"
"wins.loss",0.794614510798507,0.739642830544043,0.852562861559738,21,"wins.loss"
"goals",1.14130406723575,1.0528960274174,1.2364785160595,21,"goals"
"posD",1.21514080399435,1.08033925604566,1.36677587732739,21,"posD"
"posG",1.65941511228784,1.34659351494223,2.03854584865691,21,"posG"
"posM",0.725253634865776,0.636228356663964,0.825969575845442,21,"posM"
"countryEngland",0.875584902273722,0.779691118129893,0.981622838438644,21,"countryEngland"
"countryFrance",1.28048185461922,1.12138800353558,1.45882479772291,21,"countryFrance"
"countryGermany",0.809505943869578,0.719191303624388,0.909830461547537,21,"countryGermany"
"skintone:countryEngland",1.01318777697922,0.914451094128704,1.12201043528972,21,"skintone:countryEngland"
"skintone:countryFrance",0.870157572608521,0.773110928483882,0.977988992205831,21,"skintone:countryFrance"
"skintone:countryGermany",1.1464571923972,1.0237958393109,1.2814031755746,21,"skintone:countryGermany"
"(Intercept)",0.00274363595276983,0.00241080635582323,0.00311564966522792,22,"(Intercept)"
"skintone",1.12738687806943,1.05264518453131,1.20659902094919,22,"skintone"
"totalYellows",1.01411391023852,1.01099522519014,1.01726534308963,22,"totalYellows"
"height",1.04431761506537,0.96690529995227,1.12808007043472,22,"height"
"age",1.17132477179244,1.07855558513985,1.27221614738175,22,"age"
"wins.loss",0.788016745040722,0.73408113726071,0.844797310951281,22,"wins.loss"
"goals",1.12782387481784,1.03747862179697,1.22520060710203,22,"goals"
"posD",1.2295482620547,1.09079153617171,1.38598793078808,22,"posD"
"posG",1.69599085393055,1.37218174477606,2.09053846738032,22,"posG"
"posM",0.698150649792637,0.610175366901641,0.797995702084894,22,"posM"
